place_num,age_10,age_20,age_30,age_40,age_50,age_60,gender_male,gender_female,mbti_is,mbti_in,mbti_es,mbti_en,restaurant_korea,restaurant_west,restaurant_china,restaurant_japan,restaurant_fast,restaurant_bunsik,cafe_cafe,cafe_dessert,cafe_bakery,leisure_gallery,leisure_craft,leisure_popup,leisure_theater,leisure_book,leisure_department,walking_park,walking_market,walking_street
21244173,0.25,0.8034,0.872,0.8706999999999999,0.713,0.25,0.55,0.45,0.15,0.4,0.2,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155877497,0.25,0.8445999999999999,0.8613,0.8639,0.6095,0.25,0.54,0.46,0.15,0.65,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425849608,0.25,0.8067,0.8756,0.8684000000000001,0.5718,0.25,0.5,0.5,0.25,0.4,0.1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20836890,0.25,0.8643000000000001,0.8325,0.7662,0.6273,0.7020000000000001,0.54,0.46,0.1,0.55,0.1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11555289,0.25,0.7515000000000001,0.8345999999999999,0.8504999999999999,0.8321999999999999,0.8233,0.55,0.45,0.05,0.75,0.15,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811586372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37944353,0.25,0.8418000000000001,0.8691,0.877,0.6779000000000001,0.25,0.53,0.47,0.1,0.55,0.15,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92946026,0.25,0.86,0.8722,0.8225,0.6414,0.25,0.53,0.47,0.15,0.6,0.2,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56819516,0.48479999999999995,0.4778,0.29969999999999997,0.2986,0.18760000000000002,0.1176,0.41,0.59,0.15,0.6,0.05,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886039823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.65,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383299713,0.9779000000000001,0.9851000000000001,0.7979,0.6531999999999999,0.5239,0.4733,0.46,0.54,0.05263157894736842,0.6842105263157895,0.05263157894736842,0.21052631578947367,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414552557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671280630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639752119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.07142857142857142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130297364,0.25,0.9795,0.7702,0.5925,0.48119999999999996,0.25,0.46,0.54,0.1,0.7,0.15,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664227079,0.9732,0.9245,0.7034999999999999,0.7544,0.5095000000000001,0.25,0.39,0.61,0.2,0.4,0.1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696136533,0.25,0.9799,0.7922,0.5566,0.25,0.25,0.49,0.51,0.2,0.65,0.1,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132760307,0.25,0.8864,0.8765000000000001,0.6959000000000001,0.25,0.25,0.49,0.51,0.15,0.65,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200395362,0.4932,0.46159999999999995,0.1984,0.23989999999999997,0.1176,0.1176,0.37,0.63,0.0,0.55,0.25,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136522561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.55,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270673519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.55,0.15,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33409163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5555555555555556,0.1111111111111111,0.16666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
